dtype,block_size,num_warps,ms,total_size_in_gb,gbps
torch.float16,128,32,0.40445761680603026,0.100663296,248.88465890426312
torch.float16,128,2,0.07157440185546875,0.100663296,1406.4147710695634
torch.float16,128,4,0.07146239876747132,0.100663296,1408.6190463259472
torch.float16,128,8,0.07640640139579773,0.100663296,1317.472020158986
torch.float16,256,32,0.20697600841522218,0.100663296,486.3524848641185
torch.float16,256,2,0.03884479999542236,0.100663296,2591.422687511909
torch.float16,256,4,0.04020479917526245,0.100663296,2503.7631841209886
torch.float16,256,8,0.042019200325012204,0.100663296,2395.6499700466575
torch.float16,512,32,0.11125760078430176,0.100663296,904.7767998804752
torch.float16,512,2,0.026607999205589296,0.100663296,3783.1967455431445
torch.float16,512,4,0.027430400252342224,0.100663296,3669.7713148172006
torch.float16,512,8,0.02961919903755188,0.100663296,3398.5826514882065
torch.float16,1024,32,0.06226239800453186,0.100663296,1616.7590588572107
torch.float16,1024,2,0.02515200078487396,0.100663296,4002.1983483929203
torch.float16,1024,4,0.024223999679088594,0.100663296,4155.519209608385
torch.float16,1024,8,0.024646399915218352,0.100663296,4084.300195820635
torch.float16,2048,32,0.036652800440788266,0.100663296,2746.4012241743762
torch.float16,2048,2,0.024889600276947022,0.100663296,4044.391829515851
torch.float16,2048,4,0.025254398584365845,0.100663296,3985.970826575822
torch.float16,2048,8,0.02484479993581772,0.100663296,4051.6847090757974
torch.bfloat16,128,32,0.4413311958312988,0.100663296,228.0901439799399
torch.bfloat16,128,2,0.07072960138320923,0.100663296,1423.2131106552065
torch.bfloat16,128,4,0.07135679721832275,0.100663296,1410.7036739893367
torch.bfloat16,128,8,0.07989439964294434,0.100663296,1259.9543453592971
torch.bfloat16,256,32,0.22968640327453613,0.100663296,438.2640616287621
torch.bfloat16,256,2,0.0385919988155365,0.100663296,2608.3980900070565
torch.bfloat16,256,4,0.039740800857543945,0.100663296,2532.996160818214
torch.bfloat16,256,8,0.04724160134792328,0.100663296,2130.818878442297
torch.bfloat16,512,32,0.12396479845046997,0.100663296,812.0312964508221
torch.bfloat16,512,2,0.026979199051856993,0.100663296,3731.144716583841
torch.bfloat16,512,4,0.028460800647735596,0.100663296,3536.9101960948874
torch.bfloat16,512,8,0.031171199679374696,0.100663296,3229.3686811998678
torch.bfloat16,1024,32,0.0688704013824463,0.100663296,1461.633647827949
torch.bfloat16,1024,2,0.025628799200057985,0.100663296,3927.7414136426746
torch.bfloat16,1024,4,0.025628799200057985,0.100663296,3927.7414136426746
torch.bfloat16,1024,8,0.027270400524139406,0.100663296,3691.302440200471
torch.bfloat16,2048,32,0.04287999868392944,0.100663296,2347.558281006351
torch.bfloat16,2048,2,0.025900799036026,0.100663296,3886.4938436835546
torch.bfloat16,2048,4,0.024937599897384644,0.100663296,4036.6072282103282
torch.bfloat16,2048,8,0.025676798820495606,0.100663296,3920.398983678956
torch.float32,128,32,0.5299104213714599,0.201326592,379.9257079695604
torch.float32,128,2,0.1164736032485962,0.201326592,1728.5169032703252
torch.float32,128,4,0.11676479578018188,0.201326592,1724.206261440407
torch.float32,128,8,0.13079999685287474,0.201326592,1539.1941654742877
torch.float32,256,32,0.2946367979049683,0.201326592,683.3043035749241
torch.float32,256,2,0.11367679834365844,0.201326592,1771.0438271789274
torch.float32,256,4,0.11499840021133423,0.201326592,1750.690371605337
torch.float32,256,8,0.11560959815979004,0.201326592,1741.4349258591492
torch.float32,512,32,0.16933120489120485,0.201326592,1188.951511502869
torch.float32,512,2,0.11584000587463379,0.201326592,1737.9711825799013
torch.float32,512,4,0.11481280326843261,0.201326592,1753.5203937952629
torch.float32,512,8,0.11662080287933349,0.201326592,1726.3351565870355
torch.float32,1024,32,0.12534719705581665,0.201326592,1606.1515273480748
torch.float32,1024,2,0.11559360027313233,0.201326592,1741.6759364211514
torch.float32,1024,4,0.11594560146331787,0.201326592,1736.3883533235578
torch.float32,1024,8,0.11499199867248536,0.201326592,1750.7878315378155
torch.float32,2048,32,0.11754239797592163,0.201326592,1712.7997681418872
torch.float32,2048,2,0.11617920398712159,0.201326592,1732.8969823404623
torch.float32,2048,4,0.11660480499267578,0.201326592,1726.572005438762
torch.float32,2048,8,0.11532800197601319,0.201326592,1745.6869845180659
